Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
19,0:00,Objeto,person,0.78,24610,"(282, 251, 389, 481)"
19,0:00,Objeto,person,0.6,24552,"(134, 243, 227, 507)"
19,0:00,Objeto,car,0.58,47871,"(548, 281, 791, 478)"
19,0:00,Objeto,person,0.53,245328,"(395, 28, 933, 484)"
19,0:00,Humo,smoke,0.34,31284,"(694, 145, 892, 303)"
19,0:00,Humo,smoke,0.27,35424,"(668, 124, 884, 288)"
20,0:00,Objeto,car,0.76,48158,"(549, 293, 791, 492)"
20,0:00,Objeto,person,0.6,24415,"(132, 253, 227, 510)"
20,0:00,Objeto,person,0.58,22338,"(286, 261, 388, 480)"
20,0:00,Objeto,person,0.56,113243,"(394, 83, 675, 486)"
20,0:00,Fuego,fire,0.23,900,"(928, 212, 973, 232)"
21,0:00,Objeto,person,0.77,21728,"(287, 252, 384, 476)"
21,0:00,Objeto,person,0.64,27707,"(123, 234, 226, 503)"
21,0:00,Objeto,person,0.48,267850,"(393, 2, 943, 489)"
21,0:00,Objeto,car,0.42,48357,"(548, 287, 791, 486)"
21,0:00,Objeto,skateboard,0.37,1458,"(296, 455, 350, 482)"
21,0:00,Humo,smoke,0.24,23800,"(703, 152, 878, 288)"
21,0:00,Humo,smoke,0.23,126187,"(389, 7, 880, 264)"
22,0:00,Objeto,person,0.67,23634,"(293, 256, 394, 490)"
22,0:00,Objeto,person,0.65,24795,"(139, 249, 234, 510)"
22,0:00,Objeto,person,0.56,96996,"(405, 84, 641, 495)"
22,0:00,Objeto,car,0.54,45448,"(551, 308, 798, 492)"
22,0:00,Objeto,car,0.47,2714,"(950, 250, 1009, 296)"
22,0:00,Objeto,car,0.4,4288,"(950, 232, 1017, 296)"
23,0:00,Objeto,person,0.71,20152,"(302, 266, 390, 495)"
23,0:00,Objeto,person,0.67,26300,"(144, 252, 244, 515)"
23,0:00,Objeto,car,0.5,2408,"(956, 275, 1012, 318)"
23,0:00,Objeto,person,0.38,5088,"(123, 282, 171, 388)"
24,0:00,Objeto,person,0.73,20700,"(302, 265, 392, 495)"
24,0:00,Objeto,person,0.66,26664,"(143, 251, 244, 515)"
24,0:00,Objeto,car,0.42,2464,"(956, 274, 1012, 318)"
24,0:00,Objeto,person,0.38,287020,"(407, 5, 972, 513)"
24,0:00,Objeto,person,0.37,5047,"(123, 282, 172, 385)"
24,0:00,Humo,smoke,0.25,161177,"(419, 13, 918, 336)"
25,0:00,Objeto,person,0.7,17222,"(296, 230, 375, 448)"
25,0:00,Objeto,person,0.7,27664,"(137, 197, 241, 463)"
25,0:00,Objeto,car,0.46,51906,"(556, 259, 802, 470)"
25,0:00,Objeto,person,0.36,7840,"(114, 230, 170, 370)"
25,0:00,Humo,smoke,0.26,78608,"(690, 19, 979, 291)"
26,0:00,Objeto,person,0.67,17360,"(296, 231, 376, 448)"
26,0:00,Objeto,person,0.67,29370,"(131, 196, 241, 463)"
26,0:00,Objeto,car,0.65,52117,"(556, 259, 803, 470)"
26,0:00,Objeto,person,0.39,170970,"(562, 57, 972, 474)"
26,0:00,Objeto,car,0.36,5146,"(961, 215, 1044, 277)"
26,0:00,Humo,smoke,0.26,53808,"(710, 75, 946, 303)"
27,0:00,Objeto,car,0.76,51250,"(547, 245, 797, 450)"
27,0:00,Objeto,person,0.68,36156,"(102, 180, 233, 456)"
27,0:00,Objeto,person,0.64,17000,"(282, 235, 367, 435)"
27,0:00,Objeto,car,0.4,2646,"(955, 207, 1009, 256)"
27,0:00,Objeto,car,0.39,3834,"(953, 201, 1024, 255)"
27,0:00,Objeto,person,0.37,121125,"(657, 34, 942, 459)"
28,0:00,Objeto,car,0.83,51455,"(547, 245, 798, 450)"
28,0:00,Objeto,person,0.72,34944,"(103, 182, 231, 455)"
28,0:00,Objeto,person,0.66,16405,"(283, 235, 368, 428)"
28,0:00,Objeto,car,0.38,2444,"(956, 208, 1008, 255)"
28,0:00,Objeto,car,0.35,3763,"(953, 202, 1024, 255)"
28,0:00,Humo,smoke,0.21,71500,"(675, 8, 961, 258)"
29,0:00,Objeto,person,0.75,19758,"(262, 228, 351, 450)"
29,0:00,Objeto,car,0.69,51865,"(525, 267, 778, 472)"
29,0:00,Objeto,person,0.64,32096,"(100, 199, 218, 471)"
29,0:00,Objeto,person,0.47,160890,"(592, 12, 938, 477)"
29,0:00,Objeto,car,0.44,2565,"(937, 234, 994, 279)"
29,0:00,Objeto,person,0.42,2430,"(1154, 215, 1184, 296)"
29,0:00,Objeto,car,0.35,4455,"(934, 223, 1015, 278)"
29,0:00,Humo,smoke,0.3,71253,"(639, 27, 912, 288)"
30,0:01,Objeto,person,0.8,30623,"(104, 215, 217, 486)"
30,0:01,Objeto,person,0.63,19474,"(258, 243, 349, 457)"
30,0:01,Objeto,car,0.55,8346,"(905, 193, 1012, 271)"
30,0:01,Objeto,car,0.42,53664,"(511, 266, 769, 474)"
31,0:01,Objeto,person,0.79,30623,"(104, 215, 217, 486)"
31,0:01,Objeto,person,0.64,19995,"(258, 239, 351, 454)"
31,0:01,Objeto,car,0.59,8532,"(903, 192, 1011, 271)"
31,0:01,Objeto,car,0.44,53456,"(512, 266, 769, 474)"
32,0:01,Objeto,person,0.75,33333,"(80, 225, 203, 496)"
32,0:01,Objeto,person,0.67,19620,"(245, 258, 335, 476)"
32,0:01,Objeto,car,0.61,47498,"(503, 283, 757, 470)"
33,0:01,Objeto,car,0.82,53130,"(490, 275, 743, 485)"
33,0:01,Objeto,person,0.73,30688,"(74, 218, 186, 492)"
33,0:01,Objeto,person,0.65,23000,"(233, 239, 333, 469)"
33,0:01,Objeto,car,0.53,2376,"(906, 242, 960, 286)"
34,0:01,Objeto,car,0.72,53406,"(476, 282, 734, 489)"
34,0:01,Objeto,person,0.65,27573,"(70, 233, 171, 506)"
34,0:01,Objeto,person,0.63,18966,"(219, 262, 306, 480)"
34,0:01,Objeto,car,0.62,2420,"(896, 241, 951, 285)"
35,0:01,Objeto,car,0.7,53406,"(476, 282, 734, 489)"
35,0:01,Objeto,person,0.65,28938,"(64, 233, 170, 506)"
35,0:01,Objeto,person,0.63,18879,"(219, 263, 306, 480)"
35,0:01,Objeto,car,0.61,2376,"(897, 241, 951, 285)"
36,0:01,Objeto,person,0.73,33579,"(35, 223, 158, 496)"
36,0:01,Objeto,car,0.64,54272,"(466, 272, 722, 484)"
36,0:01,Objeto,person,0.62,18957,"(204, 253, 293, 466)"
36,0:01,Objeto,car,0.53,2419,"(885, 237, 944, 278)"
36,0:01,Fuego,fire,0.2,3780,"(725, 370, 779, 440)"
37,0:01,Objeto,person,0.76,33825,"(35, 222, 158, 497)"
37,0:01,Objeto,car,0.64,54272,"(467, 272, 723, 484)"
37,0:01,Objeto,person,0.62,18957,"(204, 254, 293, 467)"
37,0:01,Objeto,car,0.47,2537,"(884, 236, 943, 279)"
37,0:01,Objeto,person,0.44,1794,"(1194, 233, 1220, 302)"
37,0:01,Objeto,person,0.37,2262,"(1098, 213, 1127, 291)"
38,0:01,Objeto,car,0.88,54600,"(461, 267, 721, 477)"
38,0:01,Objeto,person,0.74,33456,"(33, 224, 156, 496)"
38,0:01,Objeto,person,0.62,19800,"(199, 243, 287, 468)"
38,0:01,Objeto,person,0.5,1403,"(1188, 233, 1211, 294)"
38,0:01,Objeto,person,0.39,1900,"(1093, 210, 1118, 286)"
38,0:01,Fuego,fire,0.34,7644,"(715, 376, 799, 467)"
39,0:01,Objeto,car,0.89,54340,"(461, 267, 721, 476)"
39,0:01,Objeto,person,0.75,33579,"(33, 223, 156, 496)"
39,0:01,Objeto,person,0.61,19847,"(199, 244, 288, 467)"
39,0:01,Objeto,person,0.49,1403,"(1188, 233, 1211, 294)"
39,0:01,Objeto,person,0.37,1925,"(1093, 209, 1118, 286)"
39,0:01,Fuego,fire,0.36,7980,"(717, 375, 801, 470)"
40,0:01,Objeto,car,0.92,54758,"(465, 269, 727, 478)"
40,0:01,Objeto,person,0.66,22834,"(204, 245, 302, 478)"
40,0:01,Objeto,person,0.64,27775,"(64, 231, 165, 506)"
40,0:01,Objeto,car,0.35,2132,"(891, 227, 943, 268)"
41,0:01,Objeto,car,0.88,55071,"(470, 283, 731, 494)"
41,0:01,Objeto,person,0.79,27371,"(77, 247, 178, 518)"
41,0:01,Objeto,person,0.7,24274,"(210, 262, 316, 491)"
41,0:01,Objeto,person,0.6,159408,"(572, 5, 900, 491)"
41,0:01,Objeto,car,0.45,2009,"(896, 243, 945, 284)"
41,0:01,Objeto,backpack,0.4,4158,"(236, 295, 290, 372)"
42,0:01,Objeto,person,0.77,27768,"(94, 258, 198, 525)"
42,0:01,Objeto,car,0.76,55440,"(485, 292, 749, 502)"
42,0:01,Objeto,person,0.72,25300,"(227, 269, 337, 499)"
42,0:01,Objeto,car,0.63,2100,"(909, 251, 959, 293)"
42,0:01,Objeto,person,0.46,2002,"(1207, 233, 1233, 310)"
43,0:01,Objeto,car,0.89,57936,"(523, 293, 795, 506)"
43,0:01,Objeto,person,0.74,26200,"(140, 262, 240, 524)"
43,0:01,Objeto,person,0.64,23310,"(265, 279, 370, 501)"
44,0:01,Objeto,car,0.86,57510,"(523, 293, 793, 506)"
44,0:01,Objeto,person,0.76,24948,"(140, 273, 239, 525)"
44,0:01,Objeto,person,0.67,23310,"(265, 280, 370, 502)"
45,0:01,Objeto,car,0.84,57939,"(536, 277, 803, 494)"
45,0:01,Objeto,person,0.73,24610,"(276, 253, 383, 483)"
45,0:01,Objeto,person,0.66,21146,"(152, 286, 249, 504)"
45,0:01,Objeto,car,0.52,2322,"(970, 236, 1024, 279)"
45,0:01,Humo,smoke,0.25,73980,"(692, 0, 966, 270)"
46,0:01,Objeto,person,0.73,25482,"(162, 200, 255, 474)"
46,0:01,Objeto,car,0.72,94500,"(543, 251, 963, 476)"
