Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
35,0:01,Objeto,bus,0.57,67124,"(450, 342, 796, 536)"
35,0:01,Objeto,car,0.36,5456,"(1142, 318, 1266, 362)"
36,0:01,Objeto,bus,0.84,65088,"(457, 344, 796, 536)"
36,0:01,Objeto,truck,0.45,65280,"(457, 343, 797, 535)"
37,0:01,Objeto,bus,0.83,64896,"(459, 344, 797, 536)"
37,0:01,Objeto,car,0.46,7239,"(1143, 312, 1270, 369)"
38,0:01,Objeto,bus,0.79,64848,"(462, 344, 798, 537)"
38,0:01,Objeto,car,0.53,6656,"(1143, 314, 1271, 366)"
38,0:01,Fuego,fire,0.25,540,"(567, 502, 594, 522)"
39,0:01,Objeto,truck,0.56,64796,"(465, 341, 799, 535)"
39,0:01,Objeto,bus,0.54,64655,"(464, 343, 799, 536)"
39,0:01,Objeto,car,0.53,7729,"(1143, 311, 1274, 370)"
40,0:01,Objeto,bus,0.65,62890,"(469, 345, 800, 535)"
40,0:01,Objeto,truck,0.43,63030,"(470, 344, 800, 535)"
40,0:01,Objeto,car,0.39,7656,"(1143, 313, 1275, 371)"
41,0:01,Objeto,bus,0.82,61803,"(474, 346, 801, 535)"
41,0:01,Objeto,car,0.43,6468,"(1143, 317, 1275, 366)"
42,0:01,Objeto,bus,0.83,62400,"(477, 344, 802, 536)"
42,0:01,Objeto,car,0.41,8113,"(1143, 311, 1276, 372)"
42,0:01,Fuego,fire,0.22,714,"(582, 502, 616, 523)"
43,0:01,Objeto,bus,0.8,61760,"(481, 343, 801, 536)"
43,0:01,Objeto,car,0.45,7072,"(1142, 313, 1278, 365)"
44,0:01,Objeto,bus,0.81,59913,"(484, 347, 801, 536)"
44,0:01,Objeto,car,0.45,8379,"(1144, 311, 1277, 374)"
44,0:01,Fuego,fire,0.28,888,"(489, 487, 526, 511)"
44,0:01,Fuego,fire,0.27,682,"(594, 503, 625, 525)"
45,0:01,Objeto,truck,0.7,59090,"(488, 346, 799, 536)"
45,0:01,Objeto,car,0.48,7261,"(1142, 313, 1279, 366)"
45,0:01,Fuego,fire,0.29,660,"(598, 502, 628, 524)"
45,0:01,Fuego,fire,0.28,936,"(493, 488, 532, 512)"
46,0:01,Objeto,truck,0.64,59136,"(490, 344, 798, 536)"
46,0:01,Objeto,bus,0.5,59136,"(490, 345, 798, 537)"
46,0:01,Objeto,car,0.43,8505,"(1142, 312, 1277, 375)"
46,0:01,Fuego,fire,0.2,1092,"(596, 499, 638, 525)"
47,0:01,Objeto,truck,0.76,58446,"(491, 343, 797, 534)"
47,0:01,Objeto,car,0.46,7535,"(1142, 312, 1279, 367)"
48,0:01,Objeto,bus,0.58,57380,"(494, 344, 796, 534)"
48,0:01,Objeto,car,0.54,8004,"(1141, 310, 1279, 368)"
