Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
495,0:16,Objeto,traffic light,0.37,1452,"(983, 383, 1005, 449)"
496,0:16,Objeto,traffic light,0.35,1518,"(982, 383, 1005, 449)"
519,0:17,Fuego,fire,0.22,891,"(490, 587, 517, 620)"
520,0:17,Fuego,fire,0.21,957,"(488, 589, 517, 622)"
608,0:20,Objeto,car,0.37,2670,"(1094, 130, 1183, 160)"
609,0:20,Objeto,car,0.38,2820,"(1090, 130, 1184, 160)"
610,0:20,Objeto,car,0.37,2820,"(1090, 130, 1184, 160)"
611,0:20,Objeto,car,0.36,2820,"(1090, 130, 1184, 160)"
613,0:20,Objeto,car,0.36,2668,"(1091, 131, 1183, 160)"
614,0:20,Objeto,car,0.39,2581,"(1094, 131, 1183, 160)"
879,0:29,Objeto,train,0.48,598122,"(330, 2, 1176, 709)"
880,0:29,Objeto,train,0.37,628340,"(331, 2, 1221, 708)"
881,0:29,Objeto,train,0.36,649944,"(333, 2, 1251, 710)"
883,0:29,Objeto,train,0.47,530865,"(340, 3, 1093, 708)"
884,0:29,Objeto,train,0.39,611235,"(344, 2, 1211, 707)"
885,0:29,Objeto,train,0.48,623744,"(343, 2, 1229, 706)"
887,0:29,Objeto,train,0.47,587265,"(349, 3, 1182, 708)"
888,0:29,Objeto,train,0.64,601512,"(345, 1, 1197, 707)"
889,0:29,Objeto,train,0.42,623925,"(344, 2, 1229, 707)"
890,0:29,Objeto,train,0.55,596570,"(342, 3, 1187, 709)"
891,0:29,Objeto,train,0.5,583982,"(348, 3, 1174, 710)"
892,0:29,Objeto,train,0.4,646404,"(299, 1, 1212, 709)"
894,0:29,Objeto,train,0.51,629235,"(339, 2, 1224, 713)"
895,0:29,Objeto,train,0.36,590597,"(347, 3, 1180, 712)"
896,0:29,Objeto,train,0.56,599536,"(346, 3, 1194, 710)"
897,0:29,Objeto,train,0.49,577728,"(347, 3, 1163, 711)"
898,0:29,Objeto,train,0.66,636300,"(346, 3, 1246, 710)"
899,0:29,Objeto,train,0.64,638616,"(353, 3, 1255, 711)"
900,0:30,Objeto,train,0.66,628704,"(361, 3, 1249, 711)"
901,0:30,Objeto,train,0.54,618625,"(360, 3, 1235, 710)"
902,0:30,Objeto,train,0.78,643772,"(362, 1, 1270, 710)"
902,0:30,Humo,smoke,0.21,382160,"(600, 1, 1280, 563)"
903,0:30,Objeto,train,0.42,623398,"(385, 1, 1268, 707)"
903,0:30,Humo,smoke,0.21,384993,"(601, 1, 1280, 568)"
904,0:30,Objeto,train,0.73,625695,"(379, 3, 1264, 710)"
904,0:30,Objeto,car,0.43,1100,"(945, 452, 989, 477)"
905,0:30,Objeto,train,0.67,626580,"(386, 2, 1271, 710)"
905,0:30,Humo,smoke,0.23,382395,"(591, 10, 1280, 565)"
906,0:30,Objeto,train,0.63,648528,"(359, 2, 1275, 710)"
907,0:30,Objeto,train,0.65,644988,"(363, 2, 1274, 710)"
908,0:30,Objeto,train,0.69,649236,"(352, 1, 1269, 709)"
908,0:30,Humo,smoke,0.23,455544,"(596, 0, 1280, 666)"
909,0:30,Objeto,train,0.76,649733,"(356, 2, 1275, 709)"
910,0:30,Objeto,train,0.78,643572,"(367, 2, 1276, 710)"
911,0:30,Objeto,train,0.69,645696,"(358, 2, 1270, 710)"
912,0:30,Objeto,train,0.78,656534,"(351, 1, 1277, 710)"
913,0:30,Objeto,train,0.77,656750,"(349, 1, 1274, 711)"
914,0:30,Objeto,train,0.74,651147,"(356, 2, 1277, 709)"
915,0:30,Objeto,train,0.72,655608,"(351, 2, 1277, 710)"
916,0:30,Objeto,train,0.76,650153,"(359, 1, 1276, 710)"
917,0:30,Objeto,train,0.75,653910,"(357, 1, 1278, 711)"
918,0:30,Objeto,train,0.68,644680,"(370, 0, 1278, 710)"
919,0:30,Objeto,train,0.68,652989,"(358, 0, 1279, 709)"
920,0:30,Objeto,train,0.38,646299,"(370, 0, 1279, 711)"
920,0:30,Objeto,person,0.36,6510,"(1177, 1, 1247, 94)"
921,0:30,Objeto,train,0.52,662652,"(348, 0, 1280, 711)"
922,0:30,Objeto,train,0.49,667169,"(339, 0, 1280, 709)"
926,0:30,Objeto,train,0.39,661045,"(345, 2, 1280, 709)"
928,0:30,Objeto,train,0.41,674478,"(325, 2, 1279, 709)"
929,0:30,Objeto,train,0.39,648108,"(362, 2, 1280, 708)"
930,0:31,Objeto,train,0.38,662688,"(341, 2, 1277, 710)"
932,0:31,Objeto,train,0.49,633282,"(383, 4, 1280, 710)"
933,0:31,Objeto,train,0.6,651571,"(359, 2, 1278, 711)"
933,0:31,Humo,smoke,0.23,418770,"(470, 11, 1280, 528)"
935,0:31,Objeto,train,0.52,643063,"(368, 2, 1275, 711)"
937,0:31,Objeto,train,0.37,634923,"(385, 1, 1278, 712)"
939,0:31,Objeto,train,0.41,642550,"(375, 1, 1280, 711)"
940,0:31,Objeto,train,0.66,651571,"(361, 2, 1280, 711)"
941,0:31,Objeto,train,0.46,665751,"(341, 2, 1280, 711)"
942,0:31,Objeto,train,0.47,670950,"(335, 2, 1280, 712)"
943,0:31,Objeto,train,0.36,675920,"(328, 3, 1280, 713)"
944,0:31,Objeto,train,0.47,3216,"(350, 328, 417, 376)"
948,0:31,Objeto,train,0.41,236208,"(371, 4, 707, 707)"
950,0:31,Objeto,train,0.42,210494,"(372, 18, 674, 715)"
952,0:31,Objeto,car,0.36,528,"(699, 324, 723, 346)"
954,0:31,Objeto,truck,0.37,9460,"(863, 414, 973, 500)"
956,0:31,Objeto,train,0.42,3168,"(336, 420, 402, 468)"
958,0:31,Objeto,train,0.44,3234,"(335, 427, 401, 476)"
958,0:31,Objeto,car,0.36,567,"(698, 354, 725, 375)"
960,0:32,Objeto,car,0.4,494,"(698, 359, 724, 378)"
963,0:32,Objeto,train,0.47,188238,"(385, 27, 659, 714)"
964,0:32,Objeto,train,0.48,186998,"(391, 11, 657, 714)"
965,0:32,Objeto,train,0.42,181632,"(393, 26, 657, 714)"
