Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
77,0:02,Objeto,person,0.44,4085,"(564, 607, 607, 702)"
78,0:02,Objeto,person,0.54,4800,"(561, 609, 609, 709)"
79,0:02,Objeto,person,0.58,4455,"(562, 613, 607, 712)"
79,0:02,Objeto,frisbee,0.39,6486,"(358, 244, 452, 313)"
80,0:02,Objeto,person,0.49,5238,"(559, 617, 613, 714)"
81,0:02,Objeto,person,0.56,5088,"(561, 620, 614, 716)"
81,0:02,Objeto,frisbee,0.34,6596,"(364, 243, 461, 311)"
82,0:02,Objeto,person,0.6,4823,"(561, 625, 614, 716)"
83,0:02,Objeto,person,0.57,4386,"(564, 629, 615, 715)"
84,0:02,Objeto,person,0.59,3950,"(568, 632, 618, 711)"
85,0:02,Objeto,person,0.65,3900,"(569, 633, 619, 711)"
86,0:02,Objeto,person,0.57,3822,"(571, 633, 620, 711)"
86,0:02,Objeto,frisbee,0.32,6175,"(382, 238, 477, 303)"
87,0:02,Objeto,person,0.63,4250,"(573, 633, 623, 718)"
88,0:02,Objeto,person,0.48,4263,"(576, 633, 625, 720)"
89,0:02,Objeto,person,0.46,4214,"(577, 634, 626, 720)"
89,0:02,Objeto,frisbee,0.42,6045,"(392, 235, 485, 300)"
90,0:03,Objeto,person,0.49,3995,"(579, 635, 626, 720)"
91,0:03,Objeto,person,0.43,3570,"(584, 635, 626, 720)"
93,0:03,Objeto,person,0.32,3362,"(587, 638, 628, 720)"
94,0:03,Objeto,person,0.36,3440,"(587, 640, 630, 720)"
96,0:03,Objeto,person,0.61,3120,"(593, 642, 633, 720)"
97,0:03,Objeto,person,0.61,3157,"(594, 643, 635, 720)"
98,0:03,Objeto,person,0.57,3311,"(593, 643, 636, 720)"
99,0:03,Objeto,person,0.56,3397,"(593, 641, 636, 720)"
100,0:03,Objeto,person,0.47,3360,"(595, 640, 637, 720)"
100,0:03,Objeto,car,0.35,11135,"(580, 111, 711, 196)"
100,0:03,Humo,smoke,0.28,366078,"(0, 0, 629, 582)"
101,0:03,Objeto,frisbee,0.34,6110,"(412, 232, 506, 297)"
101,0:03,Objeto,car,0.31,10920,"(580, 111, 710, 195)"
102,0:03,Objeto,person,0.41,3828,"(596, 633, 640, 720)"
102,0:03,Objeto,person,0.41,2520,"(604, 632, 640, 702)"
102,0:03,Objeto,frisbee,0.38,6175,"(412, 232, 507, 297)"
102,0:03,Objeto,car,0.31,11050,"(580, 111, 710, 196)"
103,0:03,Objeto,person,0.5,4140,"(596, 630, 642, 720)"
103,0:03,Objeto,frisbee,0.32,6175,"(412, 232, 507, 297)"
104,0:03,Objeto,person,0.5,4324,"(596, 628, 643, 720)"
104,0:03,Objeto,frisbee,0.37,6080,"(411, 233, 506, 297)"
105,0:03,Objeto,person,0.52,4371,"(598, 627, 645, 720)"
105,0:03,Objeto,frisbee,0.38,6080,"(411, 233, 506, 297)"
106,0:03,Objeto,person,0.51,4416,"(602, 624, 648, 720)"
107,0:03,Objeto,person,0.67,4608,"(604, 624, 652, 720)"
108,0:03,Objeto,person,0.65,4370,"(606, 624, 652, 719)"
109,0:03,Objeto,person,0.56,4416,"(607, 622, 653, 718)"
110,0:03,Objeto,person,0.47,4508,"(607, 620, 653, 718)"
111,0:03,Objeto,person,0.42,4747,"(607, 616, 654, 717)"
112,0:03,Objeto,person,0.47,5408,"(605, 614, 657, 718)"
113,0:03,Objeto,person,0.67,5775,"(605, 612, 660, 717)"
113,0:03,Objeto,frisbee,0.31,6110,"(409, 233, 503, 298)"
114,0:03,Objeto,person,0.71,6313,"(605, 608, 664, 715)"
114,0:03,Objeto,frisbee,0.39,6110,"(408, 233, 502, 298)"
115,0:03,Objeto,person,0.77,6540,"(608, 605, 668, 714)"
115,0:03,Objeto,frisbee,0.53,6016,"(408, 234, 502, 298)"
116,0:03,Objeto,person,0.62,6771,"(611, 600, 672, 711)"
116,0:03,Objeto,frisbee,0.51,6110,"(408, 233, 502, 298)"
117,0:03,Objeto,person,0.58,6386,"(615, 596, 677, 699)"
117,0:03,Objeto,frisbee,0.41,6110,"(408, 233, 502, 298)"
118,0:03,Objeto,person,0.57,6237,"(618, 592, 681, 691)"
119,0:03,Objeto,person,0.64,5922,"(623, 588, 686, 682)"
119,0:03,Objeto,frisbee,0.35,6110,"(408, 233, 502, 298)"
120,0:04,Objeto,person,0.54,4895,"(632, 589, 687, 678)"
121,0:04,Objeto,person,0.57,4845,"(638, 583, 689, 678)"
122,0:04,Objeto,person,0.58,4998,"(640, 578, 689, 680)"
122,0:04,Objeto,frisbee,0.37,6204,"(407, 233, 501, 299)"
123,0:04,Objeto,person,0.77,5390,"(641, 570, 690, 680)"
123,0:04,Objeto,frisbee,0.4,6110,"(407, 233, 501, 298)"
124,0:04,Objeto,person,0.78,5424,"(645, 564, 693, 677)"
124,0:04,Objeto,frisbee,0.4,6110,"(407, 233, 501, 298)"
125,0:04,Objeto,person,0.79,5537,"(647, 561, 696, 674)"
125,0:04,Objeto,frisbee,0.41,6110,"(407, 233, 501, 298)"
126,0:04,Objeto,person,0.73,5586,"(649, 555, 698, 669)"
126,0:04,Objeto,frisbee,0.41,6175,"(406, 233, 501, 298)"
127,0:04,Objeto,person,0.7,5439,"(650, 551, 699, 662)"
127,0:04,Objeto,frisbee,0.41,6175,"(406, 233, 501, 298)"
128,0:04,Objeto,person,0.73,5014,"(656, 546, 702, 655)"
128,0:04,Objeto,frisbee,0.46,6175,"(406, 233, 501, 298)"
129,0:04,Objeto,person,0.76,4452,"(659, 542, 701, 648)"
129,0:04,Objeto,frisbee,0.49,6175,"(406, 233, 501, 298)"
130,0:04,Objeto,person,0.71,4223,"(663, 540, 704, 643)"
130,0:04,Objeto,frisbee,0.4,6175,"(406, 234, 501, 299)"
131,0:04,Objeto,person,0.67,4784,"(659, 534, 705, 638)"
131,0:04,Objeto,frisbee,0.33,6175,"(406, 234, 501, 299)"
