Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
19,0:00,Objeto,car,0.72,1624,"(95, 165, 151, 194)"
19,0:00,Objeto,car,0.66,2698,"(560, 281, 631, 319)"
19,0:00,Objeto,car,0.49,345,"(631, 299, 654, 314)"
20,0:00,Objeto,car,0.79,2484,"(449, 362, 518, 398)"
20,0:00,Objeto,car,0.71,1653,"(95, 165, 152, 194)"
20,0:00,Objeto,car,0.65,2736,"(559, 281, 631, 319)"
20,0:00,Objeto,car,0.47,345,"(631, 299, 654, 314)"
21,0:00,Objeto,car,0.82,2484,"(438, 360, 507, 396)"
21,0:00,Objeto,car,0.71,1653,"(95, 165, 152, 194)"
21,0:00,Objeto,car,0.67,2698,"(560, 281, 631, 319)"
21,0:00,Objeto,car,0.49,345,"(631, 299, 654, 314)"
21,0:00,Objeto,car,0.39,2400,"(0, 390, 48, 440)"
22,0:00,Objeto,car,0.78,2664,"(427, 356, 499, 393)"
22,0:00,Objeto,car,0.69,2736,"(559, 281, 631, 319)"
22,0:00,Objeto,car,0.69,1682,"(94, 165, 152, 194)"
22,0:00,Objeto,car,0.57,345,"(631, 299, 654, 314)"
22,0:00,Objeto,car,0.45,2773,"(0, 396, 59, 443)"
22,0:00,Objeto,car,0.37,2262,"(793, 344, 851, 383)"
23,0:00,Objeto,car,0.79,2553,"(418, 353, 487, 390)"
23,0:00,Objeto,car,0.68,1682,"(94, 165, 152, 194)"
23,0:00,Objeto,car,0.68,2736,"(559, 281, 631, 319)"
23,0:00,Objeto,car,0.61,322,"(631, 300, 654, 314)"
23,0:00,Objeto,car,0.59,3933,"(0, 389, 69, 446)"
23,0:00,Objeto,car,0.37,2400,"(791, 343, 851, 383)"
24,0:00,Objeto,car,0.7,2553,"(408, 351, 477, 388)"
24,0:00,Objeto,car,0.69,2736,"(559, 281, 631, 319)"
24,0:00,Objeto,car,0.64,1624,"(94, 166, 152, 194)"
24,0:00,Objeto,car,0.63,2560,"(602, 445, 682, 477)"
24,0:00,Objeto,car,0.56,350,"(630, 300, 655, 314)"
24,0:00,Objeto,car,0.42,2340,"(791, 343, 851, 382)"
24,0:00,Objeto,car,0.38,3053,"(8, 406, 79, 449)"
25,0:00,Objeto,car,0.78,2450,"(396, 349, 466, 384)"
25,0:00,Objeto,car,0.71,2652,"(587, 442, 665, 476)"
25,0:00,Objeto,car,0.67,2736,"(559, 281, 631, 319)"
